Accession	Description	Pfam.IDs	Entrez.Gene.ID	Gene.Symbol	Chromosome
AAH20620.1	Nitrilase family, member 2 [Homo sapiens]	Pf00795	56954	NIT2	3
BAD92034.1	Chromosome-associated kinesin KIF4A variant, partial [Homo sapiens]	Pf00225, Pf04111, Pf05033, Pf06156, Pf06785, Pf07888, Pf09731, Pf12128	24137	KIF4A	X
XP_005254312.1	dmX-like protein 2 isoform X1 [Homo sapiens]	Pf00400, Pf12234	23312	DMXL2	15
EAW86495.1	phosphofructokinase, platelet, isoform CRA_a [Homo sapiens]	Pf00365	5214	PFKP	10
AAH12604.1	RTCD1 protein [Homo sapiens]	Pf01137, Pf05189	8634	RTCA	1
NP_002964.3	ataxin-2 isoform 1 [Homo sapiens]	Pf06741, Pf07145, Pf09770, Pf14438	6311	ATXN2	12
NP_071908.2	nucleoredoxin isoform 1 [Homo sapiens]	Pf00085, Pf00578, Pf13098, Pf13899, Pf13905, Pf14595	64359	NXN	17
2AHE_A	Chain A, Crystal Structure Of A Soluble Form Of Clic4. Intercellular Chloride Ion Channel				
AAB67052.1	RANBP8 [Homo sapiens]	Pf03810, Pf08506	10526	IPO8	12
NP_002119.1	high mobility group protein B1 isoform 1 [Homo sapiens]	Pf00505, Pf09011	3146	HMGB1	13
EAW68592.1	importin 7, isoform CRA_b [Homo sapiens]	Pf03810, Pf08506	10527	IPO7	11
NP_001123543.1	epsin-1 isoform a [Homo sapiens]	Pf01417	29924	EPN1	19
XP_005269189.1	thymopoietin isoform X2 [Homo sapiens]	Pf03020, Pf08198	7112	TMPO	12
XP_011526440.1	signal peptide peptidase-like 2B isoform X1 [Homo sapiens]	Pf02225, Pf04258, Pf05887, Pf07223, Pf09606	56928	SPPL2B	19
AAG33617.1	ATP-binding cassette half-transporter [Homo sapiens]	Pf00005, Pf00664, Pf02463, Pf03193, Pf13304, Pf13558	10058	ABCB6	2
BAG50848.1	unnamed protein product [Homo sapiens]	Pf02179	9532	BAG2	6
XP_024302967.1	focal adhesion kinase 1 isoform X1 [Homo sapiens]				
NP_001317255.1	pygopus homolog 1 isoform 2 [Homo sapiens]	Pf00628	26108	PYGO1	15
4M8N_E	Chain E, Crystal Structure Of Plexinc1/rap1b Complex				
NP_006347.1	ATP synthase subunit d, mitochondrial isoform a [Homo sapiens]	Pf05873	10476	ATP5H	17
NP_000929.1	DNA-directed RNA polymerase II subunit RPB2 isoform 1 [Homo sapiens]	Pf00562, Pf04560, Pf04561, Pf04563, Pf04565, Pf04566, Pf04567	5431	POLR2B	4
BAF85241.1	unnamed protein product [Homo sapiens]		54665	RSBN1	1
NP_116116.1	alpha-internexin [Homo sapiens]	Pf00038, Pf04732	9118	INA	10
BAD92747.1	EBNA-2 co-activator variant, partial [Homo sapiens]	Pf00565, Pf00567	27044	SND1	7
NP_001232.1	cyclin-T2 isoform a [Homo sapiens]	Pf00134	905	CCNT2	2
EAW95648.1	craniofacial development protein 1, isoform CRA_b [Homo sapiens]	Pf07572	10428	CFDP1	16
ABQ50603.1	non-functional aryl hydrocarbon receptor interacting protein, partial [Homo sapiens]	Pf00254	9049	AIP	11
XP_011527207.1	acetyl-coenzyme A synthetase, cytoplasmic isoform X1 [Homo sapiens]	Pf00501, Pf13193	55902	ACSS2	20
NP_066010.1	anoctamin-8 [Homo sapiens]	Pf04547	57719	ANO8	19
AAF29004.1	HSPC326, partial [Homo sapiens]	Pf08511	57017	COQ9	16
3E6U_A	Chain A, Crystal Structure Of Human Lancl1				
AAF86879.1	HAH-P [Homo sapiens]	Pf01648	60496	AASDHPPT	11
NP_001272829.1	GRINL1A combined protein isoform 3 [Homo sapiens]	Pf01576, Pf05622, Pf12128, Pf13166, Pf15328, Pf15619	145781	GCOM1	15
NP_060864.1	mycophenolic acid acyl-glucuronide esterase, mitochondrial isoform 1 precursor [Homo sapiens]	Pf00326, Pf00561, Pf12695, Pf12697	55347	ABHD10	3
NP_055260.1	stress-associated endoplasmic reticulum protein 1 [Homo sapiens]	Pf06624	27230	SERP1	3
NP_001103132.4	probable E3 ubiquitin-protein ligase HECTD4 [Homo sapiens]				
NP_057284.1	LSM8 homolog, U6 small nuclear RNA associated [Homo sapiens]	Pf01423	51691	NAA38; LSM8	7
XP_011530459.2	protein Shroom3 isoform X1 [Homo sapiens]	Pf08687, Pf08688	57619	SHROOM3	4
NP_001289546.1	acylphosphatase-1 isoform c precursor [Homo sapiens]	Pf00708	97	ACYP1	14
AAH70154.1	High-mobility group nucleosome binding domain 1 [Homo sapiens]		3150	HMGN1	21
CAA41027.1	ribosomal protein L7 [Homo sapiens]	Pf00327, Pf08079	6129	RPL7	8
XP_024306398.1	eukaryotic translation initiation factor 5A-1 isoform X1 [Homo sapiens]				
NP_006101.1	CD2 antigen cytoplasmic tail-binding protein 2 [Homo sapiens]	Pf02213	10421	CD2BP2	16
AAH91475.1	FK506 binding protein 2, 13kDa [Homo sapiens]	Pf00254	2286	FKBP2	11
AAG31019.1	GROS1-L protein [Homo sapiens]	Pf13640	64175	LEPRE1; P3H1	1
EAW88347.1	mannosidase, alpha, class 1B, member 1, isoform CRA_c [Homo sapiens]	Pf01532	11253	MAN1B1	9
AAH11575.1	C1orf85 protein, partial [Homo sapiens]	Pf15065	112770	C1orf85; GLMP	1
XP_016883895.1	chloride intracellular channel protein 6 isoform X1 [Homo sapiens]	Pf00043, Pf13409, Pf13417	54102	CLIC6	21
AAH60792.1	ACBD3 protein [Homo sapiens]	Pf00373, Pf00887, Pf13897	64746	ACBD3	1
EAW90653.1	gem (nuclear organelle) associated protein 4, isoform CRA_a [Homo sapiens]		50628	GEMIN4	17
XP_005270952.4	nuclear transcription factor Y subunit gamma isoform X2 [Homo sapiens]				
BAD92053.1	calpastatin isoform a variant, partial [Homo sapiens]	Pf00748	831	CAST	5
CAH10555.1	hypothetical protein [Homo sapiens]	Pf01266, Pf01571, Pf08669	55066	PDPR	16
NP_055454.1	tetratricopeptide repeat protein 37 [Homo sapiens]	Pf00515, Pf13414, Pf13424, Pf13429, Pf13432, Pf14559	9652	TTC37	5
NP_060093.3	metal transporter CNNM3 isoform 1 precursor [Homo sapiens]	Pf00571	26505	CNNM3	2
4OR9_A	Chain A, Crystal Structure Of Human Calcineurin				
EAW73779.1	thioredoxin domain containing 14, isoform CRA_c [Homo sapiens]	Pf00085	51075	TMX2	11
CAA79922.1	ALD protein (ALDP) [Homo sapiens]	Pf00005, Pf02456, Pf06472	215	ABCD1	X
NP_981942.1	metallo-beta-lactamase domain-containing protein 1 [Homo sapiens]	Pf00753	255374	MBLAC1	7
NP_006661.1	trophoblast glycoprotein precursor [Homo sapiens]	Pf01462, Pf12799, Pf13855	7162	TPBG	6; CHR_HG2072_PATCH
NP_001026855.2	apoptosis-stimulating of p53 protein 2 isoform 1 [Homo sapiens]	Pf00018, Pf00023, Pf04111, Pf04156, Pf06785, Pf07653, Pf12252, Pf12796, Pf13606, Pf13637, Pf13857, Pf14604, Pf15548	7159	TP53BP2	1
XP_024306322.1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3 isoform X1 [Homo sapiens]				
AAH22072.2	BID protein, partial [Homo sapiens]	Pf06393	637	BID	22
BAF83922.1	unnamed protein product [Homo sapiens]	Pf00069, Pf07714, Pf14531	23235	SIK2	11
XP_024307826.1	GDP-fucose protein O-fucosyltransferase 2 isoform X1 [Homo sapiens]				
NP_115873.1	GH3 domain-containing protein isoform 1 precursor [Homo sapiens]	Pf03321	84514	GHDC	17
NP_776155.1	FUN14 domain-containing protein 1 [Homo sapiens]	Pf04930	139341	FUNDC1	X
NP_079495.1	dnaJ homolog subfamily C member 5 [Homo sapiens]	Pf00226	80331	DNAJC5	20
XP_016878625.1	glycine cleavage system H protein, mitochondrial isoform X1 [Homo sapiens]	Pf01597	2653	GCSH	16
CAD97673.1	hypothetical protein, partial [Homo sapiens]	Pf00043, Pf00462, Pf02798, Pf13409, Pf13417, Pf14497	9446	GSTO1	10
AAQ89282.1	ECEL1 [Homo sapiens]	Pf01431, Pf05649	9427	ECEL1	2
BAA03512.1	glycine cleavage system T-protein [Homo sapiens]	Pf01571, Pf08669	275	AMT	3
AAB21608.1	hIRS-1 [Homo sapiens]	Pf00169, Pf02174	3667	IRS1	2
BAG51031.1	unnamed protein product [Homo sapiens]	Pf00091, Pf03953, Pf10644	10383	TUBB4B	9
NP_055908.1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 isoform a [Homo sapiens]	Pf00641, Pf02845, Pf13863	23118	TAB2	6
BAF82822.1	unnamed protein product [Homo sapiens]	Pf00412	1465	CSRP1	1
EAX01272.1	KIAA1012, isoform CRA_b [Homo sapiens]	Pf12739	22878	TRAPPC8	18
XP_016874530.1	protein MON2 homolog isoform X1 [Homo sapiens]	Pf09324, Pf12783	23041	MON2	12
AAA35903.1	glycosylasparaginase [Homo sapiens]	Pf01112	175	AGA	4
1ZS9_A	Chain A, Crystal Structure Of Human Enolase-Phosphatase E1				
NP_000928.1	DNA-directed RNA polymerase II subunit RPB1 [Homo sapiens]	Pf00623, Pf04983, Pf04990, Pf04992, Pf04997, Pf04998, Pf05000	5430	POLR2A	17
AAS48595.1	ADAM15 isoform 6b [Homo sapiens]	Pf00200, Pf00413, Pf01421, Pf01562, Pf08516, Pf13574, Pf13582, Pf13583, Pf13688	8751	ADAM15	1
XP_005270993.1	E3 ubiquitin-protein ligase TRIM33 isoform X1 [Homo sapiens]	Pf00439, Pf00628, Pf00643, Pf13639	51592	TRIM33	1
EAW99216.1	reticulocalbin 2, EF-hand calcium binding domain [Homo sapiens]	Pf00036, Pf13499	5955	RCN2	15
NP_057125.2	derlin-2 isoform a [Homo sapiens]	Pf04511	51009	DERL2	17
XP_016877209.1	alpha-actinin-1 isoform X1 [Homo sapiens]	Pf00036, Pf00307, Pf00435, Pf08726, Pf11971, Pf13405, Pf13833	87	ACTN1	14
BAA23321.1	low molecular mass ubiquinone-binding protein [Homo sapiens]	Pf02939, Pf13166			
XP_024305322.1	ERO1-like protein alpha isoform X1 [Homo sapiens]				
EAX07712.1	hCG18930 [Homo sapiens]	Pf06703	653566	LOC653566; SPCS2P4	1
NP_996919.1	transcription factor 12 isoform a [Homo sapiens]	Pf00010	6938	TCF12	15
XP_005259622.1	paralemmin-1 isoform X1 [Homo sapiens]	Pf03285	5064	PALM	19
CAI46227.1	hypothetical protein [Homo sapiens]	Pf04568	93974	ATPIF1	1
AAI43355.1	USP48 protein [Homo sapiens]	Pf00240, Pf00443, Pf06337, Pf13423	84196	USP48	1
5A31_X	Chain X, Structure Of The Human Apc-cdh1-hsl1-ubch10 Complex.				
AAC83687.1	HMG box factor SOX-13 [Homo sapiens]	Pf00505, Pf03154, Pf09011	9580	SOX13	1
XP_011514555.1	neuronal cell adhesion molecule isoform X1 [Homo sapiens]	Pf00041, Pf00047, Pf07679, Pf07686, Pf08205, Pf13882, Pf13895, Pf13927	4897	NRCAM	7
EAW65323.1	chromosome 3 open reading frame 63, isoform CRA_e [Homo sapiens]	Pf12509	23272	FAM208A	3
XP_024305174.1	zinc finger MYM-type protein 2 isoform X1 [Homo sapiens]				
BAB14143.1	unnamed protein product [Homo sapiens]	Pf12895, Pf14559	79989	TTC26	7
NP_061185.1	protein RCC2 [Homo sapiens]	Pf00415, Pf13540	55920	RCC2	1; CHR_HG2095_PATCH
BAC03641.1	unnamed protein product [Homo sapiens]	Pf00651, Pf01344, Pf07707, Pf13418, Pf13964	84078	KBTBD7	13
1SAV_A	Chain A, Human Annexin V With Proline Substitution By Thioproline				
EAW79783.1	ribosomal protein L24, isoform CRA_d [Homo sapiens]	Pf01246	6152	RPL24	3
BAG37826.1	unnamed protein product [Homo sapiens]	Pf00443, Pf13423	9097	USP14	18
BAG52417.1	unnamed protein product [Homo sapiens]	Pf00561, Pf05577, Pf11144, Pf12697	5547	PRCP	11
BAD96696.1	proteasome alpha 2 subunit variant, partial [Homo sapiens]	Pf00227, Pf10584	5683	PSMA2	7
NP_000453.2	ubiquitin-protein ligase E3A isoform 2 [Homo sapiens]	Pf00632	7337	UBE3A	15
XP_011507634.1	procollagen galactosyltransferase 2 isoform X1 [Homo sapiens]	Pf01755, Pf13704	23127	COLGALT2; GLT25D2	1
NP_065812.1	regulatory-associated protein of mTOR isoform 1 [Homo sapiens]	Pf01602, Pf12717, Pf13646, Pf14538	57521	RPTOR	17
EAW62679.1	heterogeneous nuclear ribonucleoprotein K, isoform CRA_e [Homo sapiens]	Pf00013, Pf08067, Pf13014, Pf13083	3190	HNRNPK	9
AAH23531.1	Chondroitin polymerizing factor [Homo sapiens]	Pf02434, Pf05679	79586	CHPF	2
BAG35427.1	unnamed protein product [Homo sapiens]	Pf01851, Pf13513, Pf13646	5707	PSMD1	2
BAB71670.1	unnamed protein product [Homo sapiens]	Pf03134	92840	REEP6	19
NP_008855.1	serine/arginine-rich splicing factor 1 isoform 1 [Homo sapiens]	Pf00076, Pf13893, Pf14259	6426	SRSF1	17
CAH10609.1	hypothetical protein [Homo sapiens]	Pf00038, Pf00307, Pf01920, Pf02463, Pf03251, Pf04111, Pf04156, Pf05667, Pf05701, Pf08317, Pf11971, Pf12128, Pf13166	23384	SPECC1L	22
EAW78207.1	splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila), isoform CRA_c, partial [Homo sapiens]	Pf00076, Pf08777, Pf13893, Pf14259	6434	TRA2B	3
CAG28544.1	ATP1B1, partial [Homo sapiens]	Pf00287	481	ATP1B1	1
ADP90078.1	mitochondrial dynamin-like 120 kDa protein [Homo sapiens]	Pf00350, Pf01926	4976	OPA1	3
XP_005256612.1	protein flightless-1 homolog isoform X1 [Homo sapiens]	Pf00626, Pf12799, Pf13855	2314	FLII	17
BAC11591.1	unnamed protein product [Homo sapiens]	Pf00106, Pf03435, Pf08659	112724	RDH13	19
XP_024309834.1	farnesyl pyrophosphate synthase isoform X1 [Homo sapiens]				
AAH54498.1	Collagen, type I, alpha 2 [Homo sapiens]	Pf01391, Pf01410	1278	COL1A2	7
EAW49461.1	attractin-like 1, isoform CRA_c [Homo sapiens]	Pf00053, Pf00059, Pf00431, Pf01344, Pf01414, Pf01437, Pf13415, Pf13418, Pf13854, Pf13964	26033	ATRNL1	10
XP_024302907.1	cleavage and polyadenylation specificity factor subunit 1 isoform X1 [Homo sapiens]				
AAH11719.1	Transmembrane protein 43 [Homo sapiens]	Pf07787	79188	TMEM43	3
XP_011524858.1	AP-2 complex subunit alpha-1 isoform X1 [Homo sapiens]	Pf01602, Pf02296, Pf02883, Pf13646	160	AP2A1	19
NP_001484.1	rab GDP dissociation inhibitor alpha [Homo sapiens]	Pf00996	2664	GDI1	X
XP_011531375.1	striatin isoform X1 [Homo sapiens]	Pf00400, Pf08232	6801	STRN	2
2ONL_C	Chain C, Crystal Structure Of The P38a-mapkap Kinase 2 Heterodimer				
1SZ7_A	Chain A, Crystal Structure Of Human Bet3				
NP_005007.2	poly(rC)-binding protein 2 isoform a [Homo sapiens]	Pf00013, Pf13014	5094	PCBP2	12
6D6Q_A	Chain A, Human nuclear exosome-MTR4 RNA complex - overall reconstruction				
NP_055983.1	zinc finger CCCH domain-containing protein 4 [Homo sapiens]	Pf00642	23211	ZC3H4	19
6C56_A	Chain A, Crystal structure of mutant human geranylgeranyl pyrophosphate synthase (Y246D) in its Apo form				
AQY77118.1	SLC39A7 [Homo sapiens]	Pf02535	7922	SLC39A7	6
NP_036526.2	prefoldin subunit 2 [Homo sapiens]	Pf01920	5202	PFDN2	1
NP_001278232.1	protocadherin Fat 4 isoform 1 precursor [Homo sapiens]	Pf00008, Pf00028, Pf00054, Pf02210, Pf07645, Pf07974, Pf08266, Pf12662, Pf12947	79633	FAT4	4
EAX03906.1	cyclin-dependent kinase inhibitor 1A (p21, Cip1), isoform CRA_b [Homo sapiens]	Pf02234	1026	CDKN1A	6
CAD38814.1	hypothetical protein [Homo sapiens]	Pf00307, Pf10358, Pf11971, Pf12130	23301	EHBP1	2
EAW91203.1	translocated promoter region (to activated MET oncogene), isoform CRA_a [Homo sapiens]	Pf00038, Pf01496, Pf01576, Pf02463, Pf03961, Pf04111, Pf05911, Pf07888, Pf07926, Pf09726, Pf12128, Pf13166, Pf13514	7175	TPR	1
XP_016867484.1	amphiphysin isoform X1 [Homo sapiens]	Pf00018, Pf03114, Pf14604	273	AMPH	7
BAA86601.1	KIAA1287 protein, partial [Homo sapiens]	Pf14750	57508	INTS2	17
CAA33787.1	retII [Homo sapiens]	Pf00038, Pf00069, Pf01576, Pf03962, Pf04156, Pf05335, Pf05622, Pf06008, Pf07714, Pf07888, Pf08317, Pf09787, Pf10174, Pf12128, Pf13514, Pf13863, Pf15070, Pf15619			
AAI36616.1	PHD and ring finger domains 1 [Homo sapiens]	Pf00097, Pf00628, Pf12678, Pf13639, Pf13923, Pf15227	57661	PHRF1	11; CHR_HSCHR11_1_CTG8
BAH13243.1	unnamed protein product [Homo sapiens]	Pf11935, Pf12295	8189	SYMPK	19
NP_073570.1	stromal membrane-associated protein 2 isoform 1 [Homo sapiens]	Pf01412	64744	SMAP2	1
BAG59669.1	unnamed protein product [Homo sapiens]	Pf00996	2665	GDI2	10
CAH18231.1	hypothetical protein [Homo sapiens]	Pf00313, Pf12901	7812	CSDE1	1
EAW85610.1	hydroxyacylglutathione hydrolase, isoform CRA_b [Homo sapiens]	Pf00753	3029	HAGH	16
EAW74201.1	tRNA phosphotransferase 1, isoform CRA_a [Homo sapiens]	Pf01885	83707	TRPT1	11
BAA37142.1	Acyl-CoA synthetase 3 [Homo sapiens]	Pf00501	2181	ACSL3	2
NP_001008485.1	solute carrier family 41 member 3 isoform 1 [Homo sapiens]	Pf01769	54946	SLC41A3	3
5IFW_B	Chain B, Quantitative Interaction Mapping Reveals An Extended Ubiquitin Regulatory Domain In Aspl That Disrupts Functional P97 Hexamers And Induces Cell Death				
6GMH_U	Chain U, Structure of activated transcription complex Pol II-DSIF-PAF-SPT6				
XP_006720360.1	DDB1- and CUL4-associated factor 5 isoform X1 [Homo sapiens]	Pf00400	8816	DCAF5	14
NP_113622.1	transmembrane and ubiquitin-like domain-containing protein 1 [Homo sapiens]	Pf00240, Pf10302, Pf13881	83590	TMUB1	7
AAB42010.1	Prt1 homolog [Homo sapiens]	Pf00076, Pf08662, Pf13893, Pf14259	8662	EIF3B	7
CAD97651.1	hypothetical protein [Homo sapiens]	Pf00888, Pf10557	8454	CUL1	7
BAF83904.1	unnamed protein product [Homo sapiens]	Pf00041, Pf00097, Pf00622, Pf00643, Pf13445, Pf13639, Pf13765, Pf13920, Pf13923, Pf14634, Pf15227	4281	MID1	X
NP_001136270.1	chromatin complexes subunit BAP18 isoform 1 [Homo sapiens]	Pf00249	124944	C17orf49	17
XP_011526969.1	band 4.1-like protein 1 isoform X1 [Homo sapiens]	Pf00373, Pf04382, Pf05902, Pf08736, Pf09379, Pf09380	2036	EPB41L1	20
XP_011513479.1	BRCA1-associated ATM activator 1 isoform X1 [Homo sapiens]		221927	BRAT1	7
XP_011528279.1	adenylosuccinate lyase isoform X1 [Homo sapiens]	Pf00206, Pf10397	158	ADSL	22
XP_006714337.1	3-hydroxybutyrate dehydrogenase type 2 isoform X1 [Homo sapiens]	Pf00106, Pf13561	56898	BDH2	4
EAW99305.1	hCG40815, isoform CRA_c [Homo sapiens]	Pf00069, Pf04212, Pf07714	25989	ULK3	15
AAG09692.1	reticulocabin precursor [Homo sapiens]	Pf13499	57333	RCN3	19
NP_001104792.1	ATP-dependent RNA helicase DDX54 isoform 1 [Homo sapiens]	Pf00270, Pf00271, Pf08147	79039	DDX54	12
BAF83827.1	unnamed protein product [Homo sapiens]	Pf00050, Pf03137, Pf07648, Pf13499	11167	FSTL1	3
Q9UMY4	Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=3	Pf00787	29934	SNX12	X
BAF84066.1	unnamed protein product [Homo sapiens]	Pf14822	22846	VASH1	14
XP_011537442.1	sorbin and SH3 domain-containing protein 1 isoform X1 [Homo sapiens]	Pf00018, Pf02208, Pf07653, Pf14604	10580	SORBS1	10
BAD96375.1	ALEX3 protein variant, partial [Homo sapiens]	Pf04826, Pf09759	51566	ARMCX3	X
AAR24622.1	proliferation-inducing gene 17 [Homo sapiens]	Pf06417	51234	EMC4	15
AAA93299.1	p60 [Homo sapiens]	Pf00564, Pf00569	8878	SQSTM1	5
EAW88759.1	zinc finger protein 384, isoform CRA_c [Homo sapiens]	Pf00096, Pf13465	171017	ZNF384	12
CAA32247.1	beta-1,4-galactosyltransferase (AA -77 to 323) [Homo sapiens]	Pf02709, Pf10111, Pf13733	2683	B4GALT1	9
NP_004512.1	kinesin-1 heavy chain [Homo sapiens]	Pf00225, Pf01576, Pf02463, Pf03999, Pf04111, Pf04156, Pf05483, Pf05557, Pf05622, Pf06160, Pf07111, Pf07888, Pf10174, Pf12128, Pf13514, Pf13851, Pf14915	3799	KIF5B	10
AAK69110.1	PWP1-interacting protein 4 [Homo sapiens]	Pf00226, Pf01556	51726	DNAJB11	3
AAH08913.1	Thioredoxin domain containing 12 (endoplasmic reticulum) [Homo sapiens]	Pf00085, Pf13098, Pf13899, Pf13905	51060	TXNDC12	1
AAF65227.1	programmed cell death 9 [Homo sapiens]	Pf07147	10884	MRPS30	5
XP_016874541.1	ELKS/Rab6-interacting/CAST family member 1 isoform X1 [Homo sapiens]	Pf04156, Pf05529, Pf05622, Pf06785, Pf09457, Pf09726, Pf10174, Pf12128	23085	ERC1	12
XP_005246247.1	rho-associated protein kinase 2 isoform X1 [Homo sapiens]	Pf00069, Pf00130, Pf01576, Pf01636, Pf02185, Pf02463, Pf04111, Pf04156, Pf05557, Pf05622, Pf05667, Pf06160, Pf07714, Pf07888, Pf08912, Pf09726, Pf09731, Pf11559, Pf12128, Pf12718, Pf12795, Pf13166, Pf14531, Pf14915	9475	ROCK2	2
AAP97266.1	ubiquitin-conjugating enzyme UbcM2 [Homo sapiens]	Pf00179	286480	UBE2E4P	X
XP_016858234.1	translation initiation factor eIF-2B subunit gamma isoform X1 [Homo sapiens]	Pf00483, Pf02348, Pf12804	8891	EIF2B3	1
XP_011512267.2	dnaJ homolog subfamily C member 21 isoform X1 [Homo sapiens]	Pf00226, Pf12171, Pf12874, Pf13868, Pf13892	134218	DNAJC21	5
NP_004538.2	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 isoform 1 [Homo sapiens]	Pf07225	4710	NDUFB4	3
XP_011524051.1	mRNA cap guanine-N7 methyltransferase isoform X1 [Homo sapiens]	Pf03291	8731	RNMT	18
1XQG_A	Chain A, 3.10 A Crystal Structure Of Maspin, Space Group P 4 21 2				
XP_011538278.1	transmembrane 9 superfamily member 3 isoform X1 [Homo sapiens]	Pf02990	56889	TM9SF3	10
BAA11423.1	multifunctional protein CAD [Homo sapiens]	Pf00117, Pf00185, Pf00289, Pf00988, Pf01979, Pf02142, Pf02222, Pf02729, Pf02786, Pf02787, Pf07478, Pf07722, Pf13147, Pf13535, Pf13594, Pf15632	790	CAD	2
CAD24007.1	WIRE protein [Homo sapiens]	Pf02205	147179	WIPF2	17
NP_006126.1	F-actin-capping protein subunit alpha-1 [Homo sapiens]	Pf01267	829	CAPZA1	1
XP_005262745.1	protein transport protein Sec24B isoform X1 [Homo sapiens]	Pf00626, Pf04810, Pf04811, Pf04815, Pf08033	10427	SEC24B	4
NP_001317965.1	ETS-related transcription factor Elf-2 isoform 6 [Homo sapiens]	Pf00178, Pf12310	1998	ELF2	4
BAD96827.1	protein kinase, interferon-inducible double stranded RNA dependent activator variant, partial [Homo sapiens]	Pf00035, Pf14709	8575	PRKRA	2
XP_016880658.1	SRC kinase signaling inhibitor 1 isoform X1 [Homo sapiens]	Pf04156	80725	SRCIN1	17
BAH12176.1	unnamed protein product [Homo sapiens]	Pf00439, Pf00628, Pf00855, Pf01753, Pf12064	23613	ZMYND8	20
EAW99547.1	thymosin, beta 10, isoform CRA_a, partial [Homo sapiens]	Pf01290	9168	TMSB10	2
AAH47518.1	TUBB3 protein, partial [Homo sapiens]	Pf00091, Pf03953	10381	TUBB3	16
NP_001014809.1	dihydropyrimidinase-related protein 1 isoform 1 [Homo sapiens]	Pf01979, Pf07969, Pf13147, Pf13594	1400	CRMP1	4
NP_062556.2	RNA binding motif protein, X-linked-like-1 [Homo sapiens]	Pf00076, Pf08081, Pf13893, Pf14259	494115	RBMXL1	1
EAW54044.1	solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1), isoform CRA_a [Homo sapiens]	Pf00955, Pf07565	6522	SLC4A2	7
BAH12140.1	unnamed protein product [Homo sapiens]	Pf00076, Pf04818, Pf13893, Pf14259	22828	SCAF8	6
AAC41689.1	protein PP4-X [Homo sapiens]	Pf00191	307	ANXA4	2
EAW93310.1	glutamyl-prolyl-tRNA synthetase, isoform CRA_b [Homo sapiens]	Pf00458, Pf00587, Pf00749, Pf01406, Pf03129, Pf03950, Pf09180, Pf14497	2058	EPRS	1
NP_065143.2	manganese-transporting ATPase 13A1 [Homo sapiens]	Pf00122, Pf00702, Pf12710, Pf13246	57130	ATP13A1	19
BAC04880.1	unnamed protein product [Homo sapiens]	Pf15140	203111	C8orf47; ERICH5	8
EAW64004.1	hCG1995701, isoform CRA_g [Homo sapiens]	Pf03133, Pf05856			
NP_919296.1	ubiquitin-conjugating enzyme E2 J2 isoform 1 [Homo sapiens]	Pf00179, Pf13900	118424	UBE2J2	1
XP_016885320.1	zinc finger protein 185 isoform X12 [Homo sapiens]	Pf00412	7739	ZNF185	X
BAG35623.1	unnamed protein product [Homo sapiens]	Pf00160	10105	PPIF	10
AAH00297.2	HMGCS1 protein, partial [Homo sapiens]	Pf01154, Pf08540	3157	HMGCS1	5
XP_005251820.1	dynamin-1 isoform X1 [Homo sapiens]	Pf00169, Pf00350, Pf01031, Pf02212	1759	DNM1	9
BAF84294.1	unnamed protein product [Homo sapiens]	Pf13402	9747	FAM115A; TCAF1	7
NP_001165131.1	NADH-cytochrome b5 reductase 3 isoform 3 [Homo sapiens]	Pf00175, Pf00970, Pf08030	1727	CYB5R3	22
NP_958839.1	growth arrest-specific protein 7 isoform c [Homo sapiens]	Pf00397, Pf00611, Pf04012, Pf10186	8522	GAS7	17
XP_011511944.1	LIM and calponin homology domains-containing protein 1 isoform X1 [Homo sapiens]	Pf00307, Pf00412	22998	LIMCH1	4
BAF84307.1	unnamed protein product [Homo sapiens]	Pf07774, Pf13360	23065	EMC1	1
BAG60970.1	unnamed protein product [Homo sapiens]	Pf01210, Pf03807, Pf14748			
AAH96757.1	Neurofilament, medium polypeptide [Homo sapiens]	Pf00038, Pf02463, Pf04111, Pf07888, Pf07902, Pf10186, Pf10498, Pf12128, Pf13166, Pf13863	4741	NEFM	8
CAE45708.1	hypothetical protein, partial [Homo sapiens]	Pf00549, Pf01071, Pf02222, Pf08442, Pf13535, Pf13549	8803	SUCLA2	13
EAW68921.1	heterogeneous nuclear ribonucleoprotein M, isoform CRA_c [Homo sapiens]	Pf00076, Pf11532, Pf11608, Pf13893, Pf14259	4670	HNRNPM	19
NP_005862.1	survival of motor neuron-related-splicing factor 30 [Homo sapiens]	Pf06003	10285	SMNDC1	10
AAB34682.2	laminin beta 2 chain [Homo sapiens]	Pf00053, Pf00055, Pf00430, Pf00769, Pf01576, Pf02050, Pf02841, Pf04111, Pf06008, Pf09831, Pf12128, Pf12795, Pf13514, Pf13851, Pf13868, Pf15070, Pf15558	3913	LAMB2	3
XP_005261339.1	splicing factor ESS-2 homolog isoform X1 [Homo sapiens]	Pf09751	8220	DGCR14; ESS2	22
NP_006849.1	transmembrane emp24 domain-containing protein 1 precursor [Homo sapiens]	Pf01105	11018	TMED1	19
